-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,28,30
-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,12,13,14,28,30
-1,12,13,14,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,28,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,12,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,6,7,32,30
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,7,7,7,7,8,-1,-1,-1,50,51,29,30
6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,29,29,29,29,29,30,-1,-1,-1,-1,-1,28,30
28,30,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,28,29,29,29,29,29,30,-1,-1,-1,-1,-1,28,30
28,30,-1,-1,-1,6,7,7,8,-1,-1,-1,-1,12,13,14,28,29,29,29,29,29,30,0,-1,-1,6,7,32,30
28,30,-1,-1,-1,28,29,29,30,-1,-1,-1,-1,-1,-1,-1,50,51,51,51,51,51,52,34,-1,-1,50,51,29,30
28,30,-1,-1,-1,28,29,29,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,30
28,30,-1,-1,-1,28,29,29,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,30
28,30,0,0,0,28,29,29,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,30
28,31,7,7,7,32,29,29,31,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,32,30
50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
